723, 589, 17, 17
143, 016, 34, 17
143, 033, 35, 17
143, 051, 33, 17
143, 069, 32, 17
143, 087, 35, 17
143, 105, 36, 17
143, 123, 37, 17
143, 141, 32, 17
143, 158, 23, 17
143, 176, 32, 17
143, 194, 20, 17
143, 214, 23, 17
143, 230, 21, 17
143, 249, 25, 17
143, 268, 25, 17
143, 285, 16, 17
143, 304, 32, 17
143, 321, 31, 17
143, 340, 33, 17
143, 357, 33, 17
143, 376, 33, 17
143, 392, 35, 17
143, 411, 35, 17
143, 429, 32, 17
143, 447, 35, 17
143, 469, 25, 17
143, 438, 35, 17
143, 503, 28, 17
143, 519, 22, 17
143, 537, 25, 17
143, 555, 24, 17
143, 573, 24, 17
341, 016, 24, 17
341, 033, 6, 17
341, 051, 8, 17
341, 069, 12, 17
341, 087, 12, 17
341, 105, 16, 17
341, 123, 13, 17
341, 141, 5, 17
341, 158, 7, 17
341, 176, 7, 17
341, 194, 9, 17
341, 214, 12, 17
341, 230, 4, 17
341, 249, 8, 17
341, 268, 4, 17
341, 285, 8, 17
341, 304, 11, 17
341, 321, 11, 17
341, 340, 11, 17
341, 357, 11, 17
341, 376, 11, 17
341, 392, 11, 17
341, 411, 11, 17
341, 429, 11, 17
341, 447, 11, 17
341, 469, 11, 17
341, 438, 4, 17
341, 503, 4, 17
341, 519, 12, 17
341, 537, 12, 17
341, 555, 12, 17
341, 573, 10, 17
526, 016, 18, 17
526, 033, 14, 17
526, 051, 14, 17
526, 069, 14, 17
526, 087, 14, 17
526, 105, 14, 17
526, 123, 14, 17
526, 141, 14, 17
526, 158, 14, 17
526, 176, 4, 17
526, 194, 9, 17
526, 214, 14, 17
526, 230, 14, 17
526, 249, 14, 17
526, 268, 14, 17
526, 285, 14, 17
526, 304, 14, 17
526, 321, 14, 17
526, 340, 14, 17
526, 357, 14, 17
526, 376, 14, 17
526, 392, 14, 17
526, 411, 14, 17
526, 429, 18, 17
526, 447, 14, 17
526, 469, 14, 17
526, 483, 14, 17
526, 503, 7, 17
526, 519, 7, 17
526, 537, 7, 17
526, 555, 10, 17
526, 573, 12, 17
701, 016, 4, 17
701, 033, 10, 17
701, 051, 10, 17
701, 069, 10, 17
701, 087, 10, 17
701, 105, 10, 17
701, 123, 8, 17
701, 141, 10, 17
701, 158, 10, 17
701, 176, 5, 17
701, 194, 7, 17
701, 214, 10, 17
701, 230, 5, 17
701, 249, 14, 17
701, 268, 10, 17
701, 285, 10, 17
701, 304, 10, 17
701, 321, 10, 17
701, 340, 7, 17
701, 357, 10, 17
701, 376, 8, 17
701, 392, 10, 17
701, 411, 10, 17
701, 429, 14, 17
701, 447, 10, 17
701, 469, 10, 17
701, 483, 10, 17
701, 503, 8, 17
701, 519, 4, 17
701, 537, 8, 17
701, 555, 12, 17
701, 573, 33, 17
